invoice_id,vendor_id,vendor_name,invoice_date,due_date,amount,item_count,payment_status,description,is_fraud,anomaly_reason
0b6bd2fc,1959,Schwartz Ltd,2025-06-06,2025-07-11,4125.51,6,Pending,Cleaning Service - urgent delivery,1,Duplicate invoice ID
d4644df4,2058,"Black, Klein and Watson",2025-07-30,2025-09-09,4308.4,10,Unpaid,Keyboard- urgent delivery,1,Suspicious text validation
f36eac69,2023,Burke Group,2025-10-10,2025-11-13,4089.62,1,Unpaid,Whiteboard - for office use,0,Normal
512cb067,2100,Ramos-Daniels,2025-06-06,2025-07-05,2853.54,7,Unpaid,Whiteboard - urgent delivery,0,Normal
2bb983ca,1968,Delgado-Allen,2025-10-19,2025-11-15,951.48,10,Paid,Delivery Service - urgent delivery,1,Duplicate invoice ID
82e26934,1132,Phillips-White,2025-06-17,2025-07-23,1860.88,3,Unpaid,PenSet - for office use,1,Suspicious text validation
a4339b2a,1241,"Garcia, Brown and Gonzalez",2025-09-07,2025-10-09,256.58,5,Unpaid,Notebook - urgent delivery,0,Normal
89a0e043,1402,Bailey-Martin,2025-09-21,2025-10-30,1713.74,3,Paid,Stationery Set - urgent delivery,0,Normal
3031d078,1291,Leach-Hernandez,2025-09-12,2025-10-24,3061.4,9,Pending,Router - monthly supply,0,Normal
51d753e8,1234,Clark-Carson,2025-05-24,2025-07-08,137.71,7,Unpaid,Maintenance Service - quarterly maintenance,0,Normal
90845450,1355,Burns-Ball,2025-08-03,2025-09-05,2294.88,9,Paid,Cleaning Service - bulk order,0,Normal
8a940f28,1193,"Wallace, Ward and Liu",2025-10-06,2025-11-10,558.91,7,Unpaid,Notebook - bulk order,0,Normal
e2bb8a10,1503,"Carter, Mccormick and Wilkins",2025-05-16,2025-05-12,1485.46,2,Paid,Coffee Machine - monthly supply,1,Due date earlier than invoice date
78da3d6a,2082,Smith-Baker,2025-05-25,2025-06-19,4893.7,9,Pending,Cleaning Service - installation included,0,Normal
e338d29c,1844,"Wilkinson, Murillo and Gentry",2025-07-12,2025-08-18,890.47,1,Unpaid,Mouse- urgent delivery,1,Suspicious text validation
8448c2d0,1761,Powell-Hanson,2025-06-24,2025-07-30,1159.37,7,Unpaid,Mouse- monthly supply,1,Suspicious text validation
530fa911,1468,Harris-Barron,2025-05-16,2025-06-20,369.995,7,Unpaid,Printer - quarterly maintenance,1,Suspicious invoice amount
a83bb63b,1419,Porter-Hampton,2025-08-13,2025-09-05,2659.68,6,Paid,Desk Chair - bulk order,0,Normal
5f8d192c,1049,Cruz-Hall,2025-05-11,2025-06-07,1761.0,8,Paid,Projector - customer support included,0,Normal
1bca7254,1145,Hughes Ltd,2025-05-17,2025-06-15,4407.24,10,Paid,Installation Service - for office use,0,Normal
be03adc2,1943,"Walker, Juarez and Fisher",2025-08-07,2025-09-01,2157.32,2,Unpaid,Monitor - installation included,0,Normal
5756a025,1789,"Gardner, Rodriguez and Jones",2025-08-07,2025-09-04,1932.37,10,Paid,Cleaning Service - monthly supply,0,Normal
e13ce0ed,1574,Moore-Maldonado,2025-09-09,2025-10-24,1251.03,3,Unpaid,Pen Set - customer support included,0,Normal
eaa4f41e,2019,White-Johnson,2025-05-04,2025-05-21,497.79,8,Unpaid,Notebook - installation included,0,Normal
8d6a5a81,1694,Hernandez-Buckley,2025-08-28,2025-09-23,2832.01,9,Unpaid,Projector - urgent delivery,0,Normal
c360d328,1284,Sims-Pineda,2025-10-01,2025-11-06,739.69,7,Unpaid,Delivery Service - for office use,0,Normal
6a56576e,1286,Baker-Lee,2025-08-15,2025-09-16,3338.95,6,Unpaid,Pen Set - urgent delivery,0,Normal
03897c24,1803,Brown-Ramirez,2025-08-06,2025-09-14,33149.8,1,Unpaid,Maintenance Service - customer support included,1,Suspicious invoice amount
d1f7988c,1690,Cox Group,2025-05-15,2025-06-16,3640.45,3,Paid,Office Desk - monthly supply,0,Normal
539a1490,2049,"Mccall, Aguilar and Murray",2025-06-13,2025-07-03,19907.5,4,Unpaid,Notebook - quarterly maintenance,1,Suspicious invoice amount
232eef57,1096,Brown PLC,2025-08-06,2025-09-10,4765.89,5,Unpaid,InstallationService - customer support included,1,Suspicious text validation
512f472c,1058,Page-Cox,2025-10-11,2025-11-17,3613.48,4,Pending,Cleaning Service - installation included,0,Normal
374aab4f,1376,Larsen-Ramsey,2025-10-04,2025-10-20,1962.15,10,Pending,Delivery Service - urgent delivery,0,Normal
1e416afb,1643,"Cole, Martin and Arroyo",2025-09-06,2025-08-27,650.36,10,Paid,Notebook - monthly supply,1,Due date earlier than invoice date
e155335a,1802,"Hill, Robinson and Singleton",2025-07-11,2025-08-14,359.96,7,Unpaid,Delivery Service - monthly supply,1,Duplicate invoice ID
af179d1b,1339,"Stevenson, Thomas and Blanchard",2025-06-25,2025-06-23,4209.1,10,Pending,Maintenance Service - quarterly maintenance,1,Due date earlier than invoice date
e5dbd22d,1019,Charles Ltd,2025-07-18,2025-08-22,4184.93,4,Paid,Maintenance Service - monthly supply,0,Normal
e46fe08b,1317,Lynch-Kennedy,2025-06-04,2025-06-20,961.25,5,Unpaid,Printer - quarterly maintenance,0,Normal
5a7ec20f,1740,Hartman Inc,2025-10-13,2025-10-29,12821.900000000001,7,Pending,Software Subscription - bulk order,1,Suspicious invoice amount
62a3fe73,1799,"Perez, Baker and Strong",2025-07-21,2025-08-06,3075.75,10,Unpaid,ConsultingServices - monthly supply,1,Suspicious text validation
7ac666b6,1721,Lutz and Sons,2025-06-23,2025-07-25,4925.79,8,Paid,Whiteboard - quarterly maintenance,0,Normal
87c907f9,1773,Blair-Gomez,2025-07-25,2025-08-15,1760.56,9,Pending,Projector - for office use,0,Normal
637a4073,1320,"Stevenson, Cantu and George",2025-06-19,2025-07-14,2534.44,6,Pending,Printer - urgent delivery,0,Normal
3a612e22,1153,Blair-Wells,2025-10-13,2025-11-20,1197.1,5,Pending,Consulting Services - installation included,0,Normal
0746a5ca,1728,"Blake, Peterson and Jordan",2025-09-16,2025-10-18,4204.22,9,Paid,Maintenance Service - urgent delivery,0,Normal
a07fac10,1245,Wise PLC,2025-10-12,2025-10-30,2647.39,8,Pending,Consulting Services - for office use,0,Normal
c55b6ce5,2040,Harrell and Sons,2025-08-06,2025-08-22,2219.03,10,Unpaid,Mouse - for office use,1,Duplicate invoice ID
0d2e8640,1483,"Lewis, Smith and Perez",2025-10-06,2025-10-29,561.59,8,Unpaid,CleaningService - quarterly maintenance,1,Suspicious text validation
42b9d994,1602,"Robinson, Evans and Porter",2025-08-26,2025-10-02,2698.79,4,Unpaid,Printer - bulk order,0,Normal
ab2b36f6,2025,"Alvarez, Arnold and Cunningham",2025-08-07,2025-09-12,2880.86,5,Pending,Projector - bulk order,0,Normal
0f259acb,1416,Carter-James,2025-07-28,2025-08-26,1518.96,6,Pending,Whiteboard - urgent delivery,0,Normal
c8814483,1802,"Hawkins, Graham and Simon",2025-07-23,2025-08-30,1797.03,8,Unpaid,Office Desk - bulk order,0,Normal
990e9252,1115,Garner Ltd,2025-08-21,2025-09-26,3776.21,8,Pending,Office Desk - bulk order,0,Normal
def91142,1763,Phillips PLC,2025-06-05,2025-07-20,4640.79,3,Unpaid,Software Subscription - installation included,0,Normal
b262981f,1808,Little-Hicks,2025-05-25,2025-07-03,2872.1,1,Paid,Router - for office use,0,Normal
54e299ba,1669,Campbell-Nolan,2025-09-26,2025-10-25,3190.38,3,Unpaid,USB Drive - quarterly maintenance,0,Normal
6dfe993f,1342,Nolan Ltd,2025-10-03,2025-11-11,2611.86,1,Unpaid,Printer- installation included,1,Suspicious text validation
51613308,2071,"Frank, Gray and Davis",2025-08-27,2025-10-06,647.57,6,Unpaid,Office Desk - customer support included,0,Normal
cc3b48cc,1924,"Torres, Reeves and Jefferson",2025-06-19,2025-07-17,306.16,7,Pending,Desk Chair - bulk order,0,Normal
72dd46fb,1115,Goodman-Davis,2025-05-05,2025-06-14,1408.23,9,Unpaid,StationerySet - for office use,1,Suspicious text validation
76e1c99b,1245,"Cherry, George and Marks",2025-05-07,2025-06-07,4735.12,10,Paid,Keyboard - urgent delivery,0,Normal
b3fa3fb4,1466,Harris-Parker,2025-09-13,2025-09-08,4816.5,5,Unpaid,Mouse - quarterly maintenance,1,Due date earlier than invoice date
4595457f,1629,"Maldonado, Briggs and Sanchez",2025-06-02,2025-07-02,1972.15,10,Pending,Software Subscription - monthly supply,0,Normal
6e48c984,1667,Soto-Davis,2025-09-07,2025-09-23,2405.17,7,Unpaid,Whiteboard - bulk order,1,Duplicate invoice ID
5fe9d293,1127,Stone Ltd,2025-05-20,2025-06-15,803.12,2,Unpaid,Cleaning Service - quarterly maintenance,0,Normal
af0c143b,1793,"Burns, Russell and Allen",2025-04-28,2025-06-06,2228.88,8,Pending,Cleaning Service - installation included,0,Normal
4bcd0b35,1917,West-Schmidt,2025-08-29,2025-09-15,4219.25,9,Pending,Consulting Services - quarterly maintenance,0,Normal
094031cb,1743,"Haas, Vincent and Hopkins",2025-09-05,2025-10-15,4909.8,10,Paid,Projector- monthly supply,1,Suspicious text validation
37b5741c,2090,Riley-Jones,2025-08-18,2025-10-02,2687.09,5,Unpaid,Maintenance Service - quarterly maintenance,0,Normal
eeedd39c,1746,"Gray, Flores and Vasquez",2025-06-30,2025-08-07,1695.36,1,Paid,SoftwareSubscription - quarterly maintenance,1,Suspicious text validation
e728cb8b,1489,Dillon-Richard,2025-07-11,2025-08-24,1057.45,1,Pending,Router - bulk order,0,Normal
72a5d017,1646,Hendricks Group,2025-05-24,2025-06-21,925.06,4,Pending,Pen Set - monthly supply,0,Normal
ad6785d1,1352,"Mccarthy, Macias and Myers",2025-06-26,2025-07-31,2932.47,9,Paid,Keyboard - for office use,0,Normal
2d3148c4,2048,Blanchard-Fernandez,2025-06-04,2025-06-26,3338.41,8,Unpaid,Printer - bulk order,0,Normal
5e31020f,1033,Parker Inc,2025-04-27,2025-05-20,2094.16,6,Paid,Monitor - installation included,0,Normal
d5c0cdcc,1151,Bates-Barnes,2025-05-26,2025-06-28,3007.0,10,Unpaid,Notebook - monthly supply,0,Normal
dc883a94,1570,Taylor Group,2025-09-30,2025-11-09,3155.34,5,Paid,Cleaning Service - customer support included,0,Normal
ace8a326,1141,Larson Inc,2025-07-28,2025-08-20,2504.98,1,Pending,Coffee Machine - quarterly maintenance,0,Normal
8e1e7339,1800,Nielsen LLC,2025-10-02,2025-11-02,2076.07,5,Pending,Desk Chair - monthly supply,0,Normal
b4a6b267,1803,Hunt LLC,2025-08-06,2025-08-23,4351.2,8,Paid,Stationery Set - installation included,0,Normal
c3a7cc83,1194,"Fleming, Williams and Garcia",2025-10-10,2025-11-05,1673.64,5,Unpaid,Delivery Service - customer support included,0,Normal
02a82713,1653,Craig Inc,2025-05-05,2025-05-22,2298.59,2,Paid,USB Drive - installation included,0,Normal
8d8af8e9,2084,Grimes LLC,2025-08-11,2025-08-29,318.86,3,Unpaid,Software Subscription - for office use,0,Normal
4c7a0e11,1847,"Adams, Sherman and Aguilar",2025-05-06,2025-05-30,7699.400000000001,8,Unpaid,Coffee Machine - monthly supply,1,Suspicious invoice amount
82ec55d0,1592,Holder and Sons,2025-10-22,2025-11-22,4488.65,6,Paid,Consulting Services - customer support included,0,Normal
040ba697,1958,Rodriguez Group,2025-10-14,2025-11-09,2632.13,3,Paid,Consulting Services - bulk order,0,Normal
cc586d56,1305,Lawson-Shelton,2025-05-11,2025-05-07,2437.19,1,Unpaid,Stationery Set - urgent delivery,1,Due date earlier than invoice date
946b89c0,1519,"Cook, Porter and Carpenter",2025-09-20,2025-10-19,3743.02,4,Pending,Cleaning Service - monthly supply,0,Normal
cc02730b,1966,Williams Group,2025-08-03,2025-09-11,3355.63,10,Unpaid,Router - monthly supply,0,Normal
84aa5bce,1571,White Group,2025-07-30,2025-08-25,635.95,5,Pending,USB Drive - installation included,0,Normal
0ddf2121,1663,"Garza, Schultz and Wood",2025-10-01,2025-10-26,39746.799999999996,9,Paid,Maintenance Service - customer support included,1,Suspicious invoice amount
8f3da1f1,1615,Nelson-Haas,2025-09-07,2025-09-30,411.75,8,Paid,Desk Chair - for office use,0,Normal
91d181bd,1737,Vang Ltd,2025-07-03,2025-08-15,4889.39,6,Pending,Cleaning Service - monthly supply,1,Duplicate invoice ID
2539afb5,2093,Rodriguez-Moore,2025-10-11,2025-10-26,359.16,6,Pending,Router - urgent delivery,1,Duplicate invoice ID
e6e1d6ff,1499,Clay-Brown,2025-07-21,2025-08-29,1077.11,8,Paid,Projector - for office use,0,Normal
f29abf3e,1114,Stevens LLC,2025-05-01,2025-06-08,3123.62,7,Paid,StationerySet - quarterly maintenance,1,Suspicious text validation
2695230c,1337,"Edwards, Morris and Chavez",2025-10-05,2025-10-28,219.55,3,Pending,Notebook - bulk order,0,Normal
62b6e12d,1876,Robbins-Davis,2025-07-29,2025-08-19,151.99,3,Unpaid,Coffee Machine - installation included,0,Normal
6bfaf9c0,1139,Perez-Kelley,2025-07-06,2025-08-20,681.15,8,Paid,Consulting Services - customer support included,0,Normal
9f51b64f,1265,Hall-Novak,2025-09-01,2025-09-16,4320.55,8,Pending,Pen Set - urgent delivery,0,Normal
ed018bfa,1287,Riley-Gonzalez,2025-07-01,2025-07-31,489.483,6,Pending,Monitor - quarterly maintenance,1,Suspicious invoice amount
ae17086e,1959,Olson-Nguyen,2025-10-22,2025-11-10,1386.84,4,Pending,USB Drive - urgent delivery,0,Normal
3810c7a8,1351,Smith-Hernandez,2025-10-06,2025-10-21,818.3,1,Pending,Cleaning Service - for office use,0,Normal
abbf746f,1394,Kane Inc,2025-08-26,2025-09-10,3406.73,10,Pending,Mouse - customer support included,0,Normal
2b7eb69b,1667,"Weaver, Scott and Hernandez",2025-04-29,2025-06-01,4484.64,5,Paid,USB Drive - customer support included,0,Normal
408e2d43,1343,Park and Sons,2025-09-12,2025-10-14,307.81,9,Pending,Pen Set - quarterly maintenance,0,Normal
504bf2cb,1949,Murphy LLC,2025-07-30,2025-08-30,3090.32,8,Unpaid,Installation Service - customer support included,0,Normal
f91f02d2,1591,Rodriguez-Cole,2025-07-24,2025-08-13,593.79,1,Pending,Printer - for office use,0,Normal
aa989199,1084,Hendricks-Day,2025-06-14,2025-07-14,12025.550000000001,4,Unpaid,Notebook - bulk order,1,Suspicious invoice amount
5912138a,1992,"Weiss, Tucker and Johnson",2025-10-05,2025-09-25,1983.39,8,Paid,Monitor - quarterly maintenance,1,Due date earlier than invoice date
187c4f21,1602,Anderson-King,2025-07-12,2025-08-24,221.72,3,Paid,Router - for office use,0,Normal
67e30350,1140,Powell Ltd,2025-09-05,2025-09-28,277.28,7,Unpaid,Consulting Services - quarterly maintenance,0,Normal
383a2334,1336,Cook Inc,2025-06-08,2025-06-26,2319.96,6,Paid,Notebook - for office use,1,Duplicate invoice ID
1e856b60,1899,"Gonzales, Roberson and Wilson",2025-05-03,2025-05-26,4362.62,6,Pending,Consulting Services - bulk order,0,Normal
b06a39a8,1243,Page-Marsh,2025-06-07,2025-06-24,1541.08,7,Unpaid,Software Subscription - for office use,0,Normal
24346419,1632,Sullivan-Medina,2025-06-28,2025-07-24,4080.05,10,Unpaid,Consulting Services - installation included,0,Normal
8b3f0af9,1201,Li-Brown,2025-07-04,2025-07-01,3737.93,5,Paid,Pen Set - bulk order,1,Due date earlier than invoice date
f177c32a,2034,"Matthews, Huff and Contreras",2025-04-28,2025-05-19,1316.3,10,Unpaid,Coffee Machine - installation included,1,Duplicate invoice ID
4d36612a,1816,"Nguyen, Davis and Ruiz",2025-08-21,2025-09-20,407.23,10,Unpaid,Notebook - urgent delivery,0,Normal
d25d297f,1843,"Schmitt, White and Young",2025-06-12,2025-07-25,4105.02,9,Unpaid,Maintenance Service - installation included,0,Normal
aaad036d,1962,Bridges Ltd,2025-05-06,2025-06-01,4664.23,8,Pending,Laptop - for office use,0,Normal
f796520f,1459,Murphy-Delgado,2025-09-26,2025-11-09,2402.08,8,Paid,Coffee Machine - urgent delivery,0,Normal
3390b5e8,1501,"Wilson, Hall and Lee",2025-05-31,2025-06-20,1790.57,1,Paid,USB Drive - installation included,0,Normal
9db469e2,1500,Tran Inc,2025-10-17,2025-11-30,1231.45,6,Unpaid,Monitor- bulk order,1,Suspicious text validation
c8232f22,1187,"Chandler, Ellis and Gillespie",2025-07-09,2025-07-05,1513.1,1,Unpaid,Pen Set - for office use,1,Due date earlier than invoice date
688f452f,1533,Andrews-Rich,2025-09-07,2025-09-23,4971.9,3,Pending,Printer - customer support included,0,Normal
13d4425c,1274,Miller Ltd,2025-07-16,2025-08-14,2761.13,1,Pending,Delivery Service - bulk order,0,Normal
53e817b6,1078,Hickman LLC,2025-08-09,2025-08-05,1392.75,7,Unpaid,Installation Service - monthly supply,1,Due date earlier than invoice date
006a8777,1234,"Kim, Davis and Green",2025-08-11,2025-08-02,2875.46,7,Paid,Printer - urgent delivery,1,Due date earlier than invoice date
d8e0eb87,1416,"Phillips, House and Fuller",2025-06-01,2025-06-27,1099.57,1,Unpaid,DeskChair - urgent delivery,1,Suspicious text validation
7fbb8c42,1172,"Martin, Ford and Thompson",2025-10-01,2025-11-09,3611.79,2,Pending,Consulting Services - bulk order,0,Normal
cd3e55c1,1979,Waters LLC,2025-10-03,2025-11-12,740.81,9,Paid,Installation Service - for office use,1,Duplicate invoice ID
f73aa5ac,1247,"Gonzalez, Moreno and Wade",2025-10-13,2025-10-28,3597.05,1,Paid,Keyboard - urgent delivery,0,Normal
edc0c000,1795,Jones-Wilcox,2025-08-13,2025-08-11,3071.57,10,Pending,Laptop - bulk order,1,Due date earlier than invoice date
ba0a5336,1427,Hernandez-Kelly,2025-10-06,2025-11-11,866.75,2,Unpaid,Office Desk - monthly supply,0,Normal
8a2b003d,1821,Romero PLC,2025-06-24,2025-07-24,1434.39,1,Pending,Stationery Set - installation included,0,Normal
dd41eb34,1175,Anderson Inc,2025-07-14,2025-08-12,3082.08,2,Pending,Printer - monthly supply,0,Normal
c40da257,1488,Lewis Group,2025-07-13,2025-07-29,1430.19,1,Paid,Maintenance Service - customer support included,0,Normal
5f7b303a,1747,Velasquez-Ayala,2025-08-08,2025-08-28,3252.94,8,Unpaid,CleaningService - for office use,1,Suspicious text validation
6d6c128e,1167,Martin Group,2025-05-02,2025-06-13,3207.86,2,Pending,Router - urgent delivery,0,Normal
7e5b82aa,1855,Smith-Floyd,2025-10-13,2025-11-13,272.63,7,Paid,Desk Chair - customer support included,0,Normal
